Antecedent,Consequent,Support,Confidence,Lift
"فیگور شرک صورتی کوچک, کلاه جشن تولد نارنجی خانواده, توپ بسکتبال چندرنگ بزرگ","لگو آتش‌نشانی نارنجی کوچک, عروسک خرسی سبز خانواده",0.022724771651810277,0.4021421616358325,1.6020455163458176
"فیگور شرک صورتی کوچک, پازل چوبی سفید متوسط, لگو آتش‌نشانی نارنجی کوچک","کلاه جشن تولد نارنجی خانواده, عروسک خرسی سبز خانواده",0.033729503686585234,0.5843660629170638,1.4414045639867967
"عروسک پارچه‌ای قرمز خانواده, پازل چوبی سفید متوسط, لگو آتش‌نشانی نارنجی کوچک","کلاه جشن تولد نارنجی خانواده, عروسک خرسی سبز خانواده",0.029327610872675252,0.5818777292576419,1.4352668093822454
"فیگور شرک صورتی کوچک, توپ بسکتبال چندرنگ بزرگ, لگو آتش‌نشانی نارنجی کوچک","کلاه جشن تولد نارنجی خانواده, عروسک خرسی سبز خانواده",0.022724771651810277,0.5816901408450704,1.4348041014818553
"ماشین سرعتی زرد کوچک, توپ بسکتبال چندرنگ بزرگ, پازل چوبی سفید متوسط","کلاه جشن تولد نارنجی خانواده, لگو آتش‌نشانی نارنجی کوچک",0.023054913612853528,0.7659963436928703,1.4301641206363496
"عروسک پارچه‌ای قرمز خانواده, لگو آتش‌نشانی نارنجی کوچک, عروسک خرسی سبز خانواده","کلاه جشن تولد نارنجی خانواده, پازل چوبی سفید متوسط",0.029327610872675252,0.5362173038229376,1.4201709821740116
"ماشین سرعتی زرد کوچک, توپ بسکتبال چندرنگ بزرگ, لگو آتش‌نشانی نارنجی کوچک","کلاه جشن تولد نارنجی خانواده, پازل چوبی سفید متوسط",0.023054913612853528,0.5330788804071247,1.4118588709587705
"فیگور شرک صورتی کوچک, توپ بسکتبال چندرنگ بزرگ, پازل چوبی سفید متوسط","کلاه جشن تولد نارنجی خانواده, لگو آتش‌نشانی نارنجی کوچک",0.02008363596346429,0.7556935817805384,1.4109282058022914
"فیگور شرک صورتی کوچک, کلاه جشن تولد نارنجی خانواده, پازل چوبی سفید متوسط, لگو آتش‌نشانی نارنجی کوچک",عروسک خرسی سبز خانواده,0.033729503686585234,0.5860420650095602,1.4097588999978488
"فیگور شرک صورتی کوچک, پازل چوبی سفید متوسط, لگو آتش‌نشانی نارنجی کوچک",عروسک خرسی سبز خانواده,0.03378452734675911,0.5853193517635844,1.4080203704766887
"فیگور شرک صورتی کوچک, لگو آتش‌نشانی نارنجی کوچک, عروسک خرسی سبز خانواده","کلاه جشن تولد نارنجی خانواده, پازل چوبی سفید متوسط",0.033729503686585234,0.5311958405545927,1.4068716418302487
"ماشین سرعتی زرد کوچک, پازل چوبی سفید متوسط, لگو آتش‌نشانی نارنجی کوچک","کلاه جشن تولد نارنجی خانواده, عروسک خرسی سبز خانواده",0.03615054473423572,0.5703125,1.406739871742671
"ماشین سرعتی زرد کوچک, توپ بسکتبال چندرنگ بزرگ, لگو آتش‌نشانی نارنجی کوچک","کلاه جشن تولد نارنجی خانواده, عروسک خرسی سبز خانواده",0.024650599757895894,0.5699745547073791,1.4059062917008562
"کلاه جشن تولد نارنجی خانواده, پازل چوبی سفید متوسط, لگو آتش‌نشانی نارنجی کوچک, عروسک پارچه‌ای قرمز خانواده",عروسک خرسی سبز خانواده,0.029327610872675252,0.5844298245614036,1.4058805601031037
"فیگور شرک صورتی کوچک, کلاه جشن تولد نارنجی خانواده, توپ بسکتبال چندرنگ بزرگ, لگو آتش‌نشانی نارنجی کوچک",عروسک خرسی سبز خانواده,0.022724771651810277,0.5841584158415841,1.4052276703514162
"عروسک پارچه‌ای قرمز خانواده, پازل چوبی سفید متوسط, لگو آتش‌نشانی نارنجی کوچک",عروسک خرسی سبز خانواده,0.029382634532849124,0.5829694323144105,1.402367500050575
"ماشین سرعتی زرد کوچک, کلاه جشن تولد نارنجی خانواده, توپ بسکتبال چندرنگ بزرگ, پازل چوبی سفید متوسط",لگو آتش‌نشانی نارنجی کوچک,0.023054913612853528,0.7716390423572744,1.3992983392337963
"فیگور شرک صورتی کوچک, توپ بسکتبال چندرنگ بزرگ, لگو آتش‌نشانی نارنجی کوچک",عروسک خرسی سبز خانواده,0.022724771651810277,0.5816901408450704,1.3992900886457063
"ماشین سرعتی زرد کوچک, پازل چوبی سفید متوسط, توپ بسکتبال چندرنگ بزرگ",لگو آتش‌نشانی نارنجی کوچک,0.023164960933201275,0.7696526508226691,1.3956961959739762
"ماشین سرعتی زرد کوچک, لگو آتش‌نشانی نارنجی کوچک, عروسک خرسی سبز خانواده","کلاه جشن تولد نارنجی خانواده, پازل چوبی سفید متوسط",0.03615054473423572,0.5264423076923077,1.394281914893617
